Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1177.5,0.0071,,1.0,0.7216
P1,1177.6,0.0001,,1.0,0.9863
P1,1177.7,0.0001,,1.0,1.0
P1,1177.8,0.0001,,1.0,1.0
P1,1177.9,0.0001,,1.0,1.0
P1,1178.0,0.0001,,1.0,0.9756
P1,1178.1,0.0004,,1.0,0.85
P1,1178.2,0.001,,1.0,0.8147
P1,1178.3,0.0001,,1.0,0.9041
P1,1178.4,0.0001,,1.0,0.9824
P1,1178.5,0.0001,,1.0,0.9529
P1,1178.6,0.0001,,1.0,0.9235
P1,1178.7,0.0002,,1.0,0.8761
P1,1178.8,0.0005,,1.0,0.8404
P1,1178.9,0.0001,,1.0,0.9307
P1,1179.0,0.0001,,1.0,1.0
P1,1179.1,0.0001,,1.0,1.0
P1,1179.2,0.0001,,1.0,1.0
P1,1179.3,0.0001,,1.0,1.0
P1,1179.4,0.0001,,1.0,1.0
P1,1179.5,0.0001,,1.0,1.0
P1,1179.6,0.0001,,1.0,1.0
P1,1179.7,0.0001,,1.0,1.0
P1,1179.8,0.0001,,1.0,1.0
P1,1179.9,0.0001,,1.0,1.0
P1,1180.0,0.0001,,1.0,1.0
P1,1180.1,0.0001,,1.0,1.0
P1,1180.2,0.0001,,1.0,1.0
P1,1180.3,0.0001,,1.0,1.0
P1,1180.4,0.0001,,1.0,1.0
P1,1180.5,0.0001,,1.0,1.0
P1,1180.6,0.0001,,1.0,1.0
P1,1180.7,0.0001,,1.0,1.0
P1,1180.8,0.0001,,1.0,1.0
P1,1180.9,0.0001,,1.0,1.0
P1,1181.0,0.0001,,1.0,1.0
P1,1181.1,0.0001,,1.0,1.0
P1,1181.2,0.0001,,1.0,1.0
P1,1181.3,0.0001,,1.0,1.0
P1,1181.4,0.0001,,1.0,1.0
P1,1181.5,0.0001,,1.0,1.0
P1,1181.6,0.0001,,1.0,1.0
P1,1181.7,0.0001,,1.0,1.0
P1,1181.8,0.0001,,1.0,1.0
P1,1181.9,0.0001,,1.0,1.0
P1,1182.0,0.0001,,1.0,1.0
P1,1182.1,0.0001,,1.0,1.0
P1,1182.2,0.0001,,1.0,1.0
P2,1024.3,0.0001,,1.0,0.9896
P2,1024.4,0.0001,,1.0,1.0
P2,1024.5,0.0001,,1.0,1.0
P2,1024.6,0.0001,,1.0,1.0
P2,1024.7,0.0001,,1.0,1.0
P2,1024.8,0.0001,,1.0,1.0
P2,1024.9,0.0001,,1.0,1.0
P2,1025.0,0.0004,,1.0,0.8566
P2,1025.6,0.0038,,1.0,0.7598
P2,1025.7,0.0001,,1.0,0.9534
P2,1025.8,0.0001,,1.0,1.0
P2,1025.9,0.0001,,1.0,1.0
P2,1026.0,0.0001,,1.0,0.9851
P2,1026.1,0.0001,,1.0,0.9264
P2,1026.2,0.0001,,1.0,0.9331
P2,1026.3,0.0001,,1.0,0.8925
P2,1026.4,0.0001,,1.0,1.0
P2,1026.5,0.0001,,1.0,1.0
P2,1026.6,0.0001,,1.0,1.0
P2,1026.7,0.0002,,1.0,0.8811
P2,1026.8,0.0017,,1.0,0.7973
P2,1026.9,0.0057,,1.0,0.7401
P2,1028.4,0.0021,,1.0,0.7881
P2,1028.5,0.0004,,1.0,0.8552
P2,1028.6,0.0041,,1.0,0.7562
P2,1029.0,0.0031,,1.0,0.7707
P2,1029.1,0.0028,,1.0,0.7747
P2,1029.2,0.0032,,1.0,0.7687
P2,1029.3,0.0055,,1.0,0.742
P2,1029.4,0.0041,,1.0,0.7566
P2,1029.5,0.0066,,1.0,0.7325
P2,1031.2,0.0034,,1.0,0.7659999999999999
P2,1031.3,0.0005,,1.0,0.8516
P2,1031.4,0.0031,,1.0,0.77
P2,1037.2,0.0049,,1.0,0.7477
P2,1037.3,0.0019,,1.0,0.7929999999999999
P2,1037.4,0.0086,,1.0,0.7183
P2,1038.2,0.0041,,1.0,0.7564
P2,1038.3,0.0022,,1.0,0.787
P2,1038.4,0.0095,,1.0,0.7128
P2,1039.6,0.0086,,1.0,0.7185
P2,1039.7,0.0003,,1.0,0.8661
P2,1039.8,0.0001,,1.0,0.961
P2,1039.9,0.0005,,1.0,0.8516
P2,1040.0,0.0042,,1.0,0.7557
P2,1040.1,0.003,,1.0,0.7715
P2,1040.6,0.0004,,1.0,0.8542
P2,1040.7,0.0001,,1.0,0.8954
P2,1040.8,0.0001,,1.0,0.9144
P2,1040.9,0.0001,,1.0,1.0
P2,1041.0,0.0001,,1.0,0.9646
P2,1041.1,0.0004,,1.0,0.8596
P2,1041.2,0.0032,,1.0,0.7686
P2,1041.7,0.0035,,1.0,0.7647
