DEPTH,Shale,Dolomite,Limestone,Primary Porosity,Secondary Porosity,Facie C
4279.0188,0,0.646166,0.261134,0.015514,0.077186,9
4279.1712,0.000284,0.673674,0.221792,0.006776,0.097474,9
4279.3236,0.001294,0.591004,0.301318,0.006747,0.099637,9
4279.476,0.00211,0.58789,0.299633,0.006711,0.103656,9
4279.6284,0.00211,0.568477,0.314617,0.006677,0.108119,9
4279.7808,0.002185,0.599166,0.27834,0.010125,0.110185,9
4279.9332,0.003243,0.658747,0.217174,0.007066,0.11377,9
4280.0856,0.002095,0.729015,0.153175,0.010847,0.104868,9
4280.238,0.000217,0.785793,0.110465,0.015082,0.088443,9
4280.3904,0,0.82576,0.086581,0.014478,0.073181,9
4280.5428,0,0.81197,0.116324,0.008957,0.062749,9
4280.6952,0,0.802081,0.130951,0.009919,0.05705,9
4280.8476,0,0.810032,0.132249,0.010017,0.047702,10
4281,0,0.876459,0.059663,0.013901,0.049977,10
4281.1524,0,0.851044,0.079331,0.014421,0.055205,9
4281.3048,0.000008,0.84989,0.059976,0.005623,0.084504,9
4281.4572,0.000684,0.840216,0.059085,0.006085,0.093929,9
4281.6096,0.001429,0.841638,0.051869,0.005195,0.099869,9
4281.762,0.000131,0.860711,0.034375,0.009814,0.094969,9
4281.9144,0,0.845612,0.046695,0.013108,0.094585,9
4282.0668,0.000052,0.807711,0.073559,0.02864,0.090038,9
4282.2192,0.000052,0.730695,0.143394,0.031294,0.094565,9
4282.3716,0.000185,0.602103,0.26765,0.013013,0.117049,9
4282.524,0.000185,0.576487,0.289548,0.012958,0.120823,9
4282.6764,0.000185,0.534479,0.341092,0.0131,0.111143,9
4282.8288,0.000199,0.540041,0.344642,0.012467,0.102652,9
4282.9812,0.000955,0.601571,0.293061,0.009976,0.094436,9
4283.1336,0.000471,0.683231,0.219573,0.011121,0.085603,9
4283.286,0,0.700448,0.20056,0.013439,0.085552,9
4283.4384,0,0.701045,0.204079,0.014128,0.080748,9
4283.5908,0,0.689489,0.217929,0.011751,0.080831,9
4283.7432,0.000649,0.641187,0.272758,0.01324,0.072166,9
4283.8956,0.000003,0.668437,0.254751,0.013966,0.062843,9
4284.048,0,0.683228,0.250107,0.014613,0.052051,9
4284.2004,0,0.780324,0.15644,0.014591,0.048645,10
4284.3528,0.000001,0.897353,0.042038,0.028427,0.032182,10
4284.5052,0.000954,0.884587,0.05445,0.022211,0.037798,10
4284.6576,0.001171,0.846284,0.094355,0.018617,0.039574,10
4284.81,0.001348,0.792754,0.153197,0.005064,0.047638,10
4284.9624,0.000927,0.732195,0.21946,0.006315,0.041102,10
4285.1148,0,0.719828,0.2335,0.010871,0.035802,10
4285.2672,0,0.637249,0.309262,0.018435,0.035054,10
4285.4196,0,0.46142,0.483536,0.020386,0.034658,8
4285.572,0.000012,0.431898,0.515681,0.014974,0.037435,8
4285.7244,0,0.420076,0.501865,0.012293,0.065765,7
4285.8768,0,0.256666,0.665276,0.012293,0.065765,7
