Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1042.6,0.0803,0.0259,1,0.5403
P1,1042.7,0.1121,0.1088,0.8046,0.4376
P1,1042.8,0.1319,0.2283,0.709,0.3337
P1,1042.9,0.1452,0.3109,0.7015,0.2561
P1,1043,0.1436,0.3002,0.702,0.2514
P1,1043.1,0.136,0.2522,0.7065,0.2773
P1,1043.2,0.1308,0.2051,0.7387,0.2954
P1,1043.3,0.1096,0.124,0.7291,0.3985
P1,1043.4,0.0931,0.0669,0.7764,0.4846
P1,1043.5,0.0257,0.0009,1,0.6427
P1,1043.6,0.0184,0.0003,1,0.6654
P1,1043.7,0.088,0.0787,0.6578,0.5059
P1,1043.8,0.0292,0.0012,1,0.6336
P1,1043.9,0.0073,0,1,0.7201
P1,1044,0.0642,0.0132,1,0.5664
P1,1044.1,0.0782,0.0239,1,0.5439
P1,1044.2,0.0977,0.0779,0.7733,0.5073
P1,1044.3,0.0984,0.0996,0.691,0.5055
P1,1044.4,0.1077,0.1322,0.6872,0.4588
P1,1044.5,0.1073,0.1103,0.7486,0.4608
P1,1044.6,0.1015,0.1019,0.7167,0.4923
P1,1044.7,0.0338,0.0019,1,0.6228
P1,1044.8,0.0042,0,1,0.7482
P1,1044.9,0.0003,0,1,0.8644
P1,1045,0.0001,0,1,0.9323
P1,1045.1,0.0001,0,1,0.9196
P1,1045.2,0.0071,0,1,0.7213
P1,1045.3,0.0967,0.083,0.7382,0.5067
P1,1045.4,0.1124,0.1476,0.6932,0.4188
P1,1045.5,0.121,0.2132,0.6444,0.3806
P1,1045.6,0.1339,0.2429,0.7027,0.3219
P1,1045.7,0.1384,0.257,0.7181,0.308
P1,1045.8,0.1256,0.1565,0.7954,0.3721
P1,1045.9,0.1102,0.1211,0.7428,0.4492
P1,1046,0.0991,0.1021,0.6903,0.4945
P1,1046.1,0.0821,0.0277,1,0.5373
P1,1046.2,0.0743,0.0205,1,0.5465
P1,1046.3,0.0854,0.0311,1,0.4351
P1,1046.4,0.1134,0.0812,0.9482,0.2379
P1,1046.5,0.1324,0.1649,0.8386,0.0877
P1,1046.6,0.1393,0.3035,0.6677,0.0148
P1,1046.7,0.1424,0.5036,0.5355,0
P1,1046.8,0.1493,0.6161,0.5197,0
P1,1046.9,0.1424,0.3023,0.6914,0.0957
P1,1047,0.1252,0.1485,0.8128,0.2491
P1,1047.1,0.1044,0.0836,0.8245,0.4247
P1,1047.2,0.0244,0.0007,1,0.6463
P1,1047.3,0.0005,0,1,0.8464
P1,1047.4,0.0001,0,1,1
P1,1047.5,0.0001,0,1,1
P1,1047.6,0.0005,0,1,0.8402
P1,1047.7,0.0174,0.0003,1,0.6688
P1,1047.8,0.0871,0.0535,0.7862,0.4964
P1,1047.9,0.092,0.0934,0.6458,0.4381
P1,1048,0.0941,0.0915,0.6749,0.4104
P1,1048.1,0.0766,0.0256,0.9368,0.5121
P1,1048.2,0.0284,0.0012,1,0.6356
P1,1048.3,0.0005,0,1,0.8452
P1,1048.4,0.0001,0,1,1
P1,1048.5,0.0001,0,1,1
P1,1048.6,0.0001,0,1,1
P1,1048.7,0.0001,0,1,1
P1,1048.8,0.0001,0,1,0.9749
P1,1048.9,0.0001,0,1,0.9496
P1,1049,0.0001,0,1,0.9709
P1,1049.1,0.0001,0,1,0.9794
P1,1049.2,0.0006,0,1,0.8373
P1,1049.3,0.009,0,1,0.708
