Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1101.5,0.0001,0.0613006244016171,1.0,0.9909
P1,1101.6,0.0001,0.06758595586252714,1.0,1.0
P1,1101.7,0.0001,0.06758595586252714,1.0,1.0
P1,1101.8,0.0001,0.05353016449500392,1.0,0.9601
P1,1101.9,0.0016,0.19908889733811141,1.0,0.7931
P1,1102.0,0.0021,0.24757865964070025,1.0,0.782
P1,1102.1,0.0001,0.06335180991386358,1.0,0.9942
P1,1102.2,0.0001,0.06758595586252714,1.0,1.0
P1,1102.3,0.0001,0.06758595586252714,1.0,1.0
P1,1102.4,0.0001,0.06758595586252714,1.0,1.0
P1,1102.5,0.0001,0.06758595586252714,1.0,1.0
P1,1102.6,0.0005,0.11933543134042884,1.0,0.8394
P1,1102.7,0.0079,2.408468089666315,1.0,0.7156
P1,1104.4,0.0001,0.05473124375190852,1.0,0.9504
P1,1104.5,0.0001,0.05482159240687978,1.0,0.9748
P1,1105.2,0.0005,0.11792379893705629,1.0,0.8425
P1,1105.3,0.0001,0.059104832928929874,1.0,0.9868
P1,1105.4,0.0001,0.0703167747424236,1.0,0.9121
P1,1105.5,0.0001,0.06689622860808897,1.0,0.9185
P1,1105.6,0.0003,0.10282038033750862,1.0,0.861
P1,1105.7,0.0021,0.24850921273735505,1.0,0.7809
P1,1105.8,0.0045,0.9516458094736082,1.0,0.7456
P1,1105.9,0.0026,0.31516579236187975,1.0,0.7721
P1,1106.0,0.0001,0.06758595586252714,1.0,1.0
P1,1106.1,0.0001,0.06758595586252714,1.0,1.0
P1,1106.2,0.0001,0.06758595586252714,1.0,1.0
P1,1106.3,0.0001,0.06758595586252714,1.0,1.0
P1,1106.4,0.0001,0.06758595586252714,1.0,1.0
P1,1106.5,0.0001,0.06758595586252714,1.0,1.0
P1,1106.6,0.0001,0.06758595586252714,1.0,1.0
P1,1106.7,0.0001,0.06758595586252714,1.0,1.0
P1,1106.8,0.0001,0.06758595586252714,1.0,1.0
P1,1106.9,0.0001,0.06758595586252714,1.0,1.0
P1,1107.0,0.0001,0.06758595586252714,1.0,1.0
P1,1107.1,0.0001,0.07585367017773714,1.0,0.9023
P1,1107.2,0.0072,2.3486056553544583,1.0,0.7207
P1,1108.0,0.0005,0.11655283931923799,1.0,0.8454
P1,1108.1,0.0001,0.06758595586252714,1.0,1.0
P1,1108.2,0.0001,0.06758595586252714,1.0,1.0
P1,1108.3,0.0001,0.05349725843780573,1.0,0.9645
P1,1108.4,0.0001,0.054266143801401934,1.0,0.953
P1,1108.5,0.0001,0.06741707449079382,1.0,0.9175
P1,1108.6,0.0008,0.13873232862295148,1.0,0.8229
P1,1109.9,0.0004,0.11126866302831939,1.0,0.8497
P1,1110.0,0.0001,0.06388781995132542,1.0,0.995
P1,1110.1,0.0001,0.06758595586252714,1.0,1.0
P1,1110.2,0.0001,0.053682669832385455,1.0,0.9676
P1,1110.3,0.0001,0.05372340645613083,1.0,0.9573
P1,1110.4,0.0001,0.07413122376236048,1.0,0.9053
P1,1110.5,0.0007,0.13065481309697302,1.0,0.8315
P1,1110.9,0.0011,0.1599461731844286,1.0,0.8088
P1,1111.6,0.0059,1.7900835859881719,1.0,0.7315
P1,1111.7,0.0001,0.06758595586252714,1.0,1.0
P1,1111.8,0.0001,0.06758595586252714,1.0,1.0
P1,1111.9,0.0001,0.06758595586252714,1.0,1.0
P1,1112.0,0.0001,0.06758595586252714,1.0,1.0
P1,1112.1,0.0001,0.06758595586252714,1.0,1.0
P1,1112.2,0.0025,0.2992434644668696,1.0,0.7742
P1,1116.3,0.0001,0.05745221056781902,1.0,0.9402
P1,1116.4,0.0001,0.06758595586252714,1.0,1.0
P1,1116.5,0.0007,0.1320344968898276,1.0,0.8282
P1,1116.6,0.0006,0.12619792894568227,1.0,0.8322
P1,1118.6,0.0075,2.3971558102748114,1.0,0.7182
P1,1118.7,0.0038,0.6290095779271576,1.0,0.7541
P1,1118.8,0.0096,1.9090080149811604,1.0,0.7046
P1,1119.5,0.0003,0.10250067599493173,1.0,0.8616
P1,1119.6,0.0001,0.05806626642131496,1.0,0.9384
P1,1119.7,0.0028,0.3496229284389914,1.0,0.7689
P1,1119.8,0.0003,0.10319120903028045,1.0,0.8603
P1,1119.9,0.0001,0.054540090942560626,1.0,0.9735
P1,1120.0,0.0006,0.12603007852949988,1.0,0.8326
P1,1120.2,0.005,1.2389107044160936,1.0,0.74
P1,1120.3,0.0011,0.1595353463475247,1.0,0.8099
P1,1120.4,0.0007,0.13256073991154899,1.0,0.8269
P1,1120.5,0.0038,0.6324169043421576,1.0,0.7532
P1,1122.2,0.0014,0.1819578347192224,1.0,0.8002
P1,1122.3,0.0001,0.06758595586252714,1.0,1.0
P1,1122.4,0.0001,0.08434965755820056,1.0,0.8877
P1,1123.8,0.0079,2.407970134646506,1.0,0.7153
P1,1123.9,0.0001,0.07493273453935012,1.0,0.9039
P1,1124.0,0.0004,0.11180417841494972,1.0,0.8486
P1,1124.1,0.0065,2.10872746915795,1.0,0.7259
P1,1125.9,0.0019,0.22622896829371242,1.0,0.7867
P1,1126.0,0.0001,0.06758595586252714,1.0,1.0
P1,1126.1,0.0001,0.054915121968616254,1.0,0.9752
P1,1128.6,0.0028,0.3498052117183269,1.0,0.7688
P1,1128.7,0.0008,0.13757148612399905,1.0,0.8258
P1,1128.8,0.0001,0.06328315325384537,1.0,0.9258
P1,1128.9,0.0001,0.0584230856849034,1.0,0.9374
P1,1129.0,0.0002,0.0914465254975374,1.0,0.8778
P1,1130.0,0.0008,0.13785611706002232,1.0,0.8251
P1,1130.1,0.0003,0.10485631058245704,1.0,0.8571
P1,1130.3,0.0086,2.289625522915202,1.0,0.7104
P1,1131.3,0.0004,0.11180417841494972,1.0,0.8486
P1,1136.3,0.0008,0.13896659937143124,1.0,0.8223
P1,1136.5,0.0068,2.232022111385161,1.0,0.7234
P1,1136.6,0.0001,0.06607480755990103,1.0,0.9201
P1,1136.7,0.0001,0.06810224093184691,1.0,0.9162
P1,1136.8,0.0054,1.4885358002764657,1.0,0.7354
P1,1136.9,0.0033,0.46523725277229205,1.0,0.7608
P1,1137.1,0.009000000000000001,2.1589480139478154,1.0,0.7079
P1,1137.2,0.0001,0.06960642646086812,1.0,0.9134
P1,1137.3,0.0001,0.06283099343401666,1.0,0.9934
P1,1137.4,0.0013,0.1739186322383337,1.0,0.804
P1,1139.6,0.005,1.238401276149448,1.0,0.7401
P1,1147.5,0.0024,0.2849667987375233,1.0,0.7759999999999999
P1,1147.6,0.0042,0.8045137208019322,1.0,0.7482
P1,1147.7,0.0049,1.1817176824403415,1.0,0.7405
P1,1147.8,0.0001,0.06758595586252714,1.0,1.0
P1,1147.9,0.0001,0.06758595586252714,1.0,1.0
P1,1148.0,0.0002,0.09491419544334245,1.0,0.8717
P1,1149.8,0.0045,0.9555207699278188,1.0,0.7448
P1,1149.9,0.0069,2.266684430481222,1.0,0.7225
P1,1150.3,0.0034,0.4937310179221926,1.0,0.7594
P1,1150.4,0.0003,0.09932511537460098,1.0,0.8674
P1,1150.5,0.0064,2.0620904886963594,1.0,0.7266
P1,1151.9,0.0009,0.14448889099550888,1.0,0.8208
P1,1152.0,0.0003,0.09949301867967941,1.0,0.8671
P1,1152.1,0.0001,0.08504437197020454,1.0,0.8865
